timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,queue_length_change_30s,speed_change_30s,visible_occupancy_fraction,visible_bike_frac,visible_car_frac,visible_hgv_frac,visible_bus_frac
325,1i,150.0,11,2.4414,7,52.76,False,7.0,1.4327999999999999,0.35173333333333334,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091
330,1i,150.0,9,0.668,8,59.77,False,14.010000000000005,-0.7794,0.3984666666666667,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.1111111111111111
335,1i,150.0,9,1.8207,8,59.76,False,14.0,0.5196000000000001,0.3984,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.1111111111111111
340,1i,150.0,11,5.0791,8,59.76,False,7.0,4.621300000000001,0.3984,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.09090909090909091
345,1i,150.0,10,1.1761,8,59.76,False,7.0,-0.07840000000000003,0.3984,0.3,0.5,0.1,0.1
350,1i,150.0,10,1.9501,8,66.76,False,14.000000000000007,-2.0721,0.4450666666666667,0.4,0.4,0.1,0.1
355,1i,150.0,8,2.9017,4,66.76,False,14.000000000000007,0.46030000000000015,0.4450666666666667,0.375,0.375,0.125,0.125
360,1i,150.0,9,3.8326,2,1.0,False,-58.77,3.1645999999999996,0.006666666666666667,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111
365,1i,150.0,10,2.6046,6,34.83,False,-24.93,0.7839,0.2322,0.3,0.4,0.1,0.2
370,1i,150.0,10,0.8297,8,48.77,False,-10.989999999999995,-4.2494000000000005,0.32513333333333333,0.3,0.4,0.1,0.2
375,1i,150.0,11,1.7451,9,48.76,False,-11.0,0.5690000000000002,0.32506666666666667,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.18181818181818182
380,1i,150.0,12,2.3919,10,52.79,False,-13.970000000000006,0.4418000000000002,0.3519333333333333,0.25,0.4166666666666667,0.16666666666666666,0.16666666666666666
385,1i,150.0,13,1.8744,10,52.76,False,-14.000000000000007,-1.0272999999999999,0.35173333333333334,0.23076923076923078,0.38461538461538464,0.23076923076923078,0.15384615384615385
390,1i,150.0,14,1.7924,12,66.8,False,65.8,-2.0401999999999996,0.4453333333333333,0.21428571428571427,0.42857142857142855,0.21428571428571427,0.14285714285714285
395,1i,150.0,14,0.9016,12,66.8,False,31.97,-1.703,0.4453333333333333,0.21428571428571427,0.42857142857142855,0.21428571428571427,0.14285714285714285
400,1i,150.0,16,2.4218,13,66.8,False,18.029999999999994,1.5921000000000003,0.4453333333333333,0.25,0.4375,0.1875,0.125
405,1i,150.0,16,0.7362,14,66.8,False,18.04,-1.0089000000000001,0.4453333333333333,0.25,0.4375,0.1875,0.125
410,1i,150.0,13,2.298,9,73.8,False,21.009999999999998,-0.0939000000000001,0.492,0.23076923076923078,0.46153846153846156,0.15384615384615385,0.15384615384615385
415,1i,150.0,10,1.7091,9,73.8,False,21.04,-0.1653,0.492,0.2,0.5,0.1,0.2
420,1i,150.0,11,4.2433,9,73.8,False,7.0,2.4509,0.492,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.18181818181818182
425,1i,150.0,11,1.7941,9,73.8,False,7.0,0.8925000000000001,0.492,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.18181818181818182
430,1i,150.0,11,1.3045,10,80.8,False,14.0,-1.1173000000000002,0.5386666666666666,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.18181818181818182
435,1i,150.0,11,0.8645,10,80.8,False,14.0,0.12830000000000008,0.5386666666666666,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.18181818181818182
440,1i,150.0,12,3.6553,9,80.8,False,7.0,1.3573,0.5386666666666666,0.25,0.5833333333333334,0.0,0.16666666666666666
445,1i,150.0,11,2.8849,5,80.8,False,7.0,1.1758,0.5386666666666666,0.2727272727272727,0.6363636363636364,0.0,0.09090909090909091
450,1i,150.0,11,1.584,4,86.75,False,12.950000000000003,-2.6592999999999996,0.5783333333333334,0.2727272727272727,0.6363636363636364,0.0,0.09090909090909091
455,1i,150.0,12,2.2474,5,15.05,False,-58.75,0.4532999999999998,0.10033333333333334,0.25,0.5833333333333334,0.08333333333333333,0.08333333333333333
460,1i,150.0,13,2.7973,8,40.18,False,-40.62,1.4928,0.26786666666666664,0.3076923076923077,0.5384615384615384,0.07692307692307693,0.07692307692307693
465,1i,150.0,15,3.0312,11,61.14,False,-19.659999999999997,2.1667,0.4076,0.4,0.4666666666666667,0.06666666666666667,0.06666666666666667
470,1i,150.0,15,1.1548,13,65.22,False,-15.579999999999998,-2.5004999999999997,0.4348,0.4,0.4666666666666667,0.06666666666666667,0.06666666666666667
475,1i,150.0,15,0.1644,14,65.05,False,-15.75,-2.7205,0.43366666666666664,0.4,0.4666666666666667,0.06666666666666667,0.06666666666666667
480,1i,150.0,17,2.5157,15,65.05,False,-21.700000000000003,0.9316999999999998,0.43366666666666664,0.47058823529411764,0.4117647058823529,0.058823529411764705,0.058823529411764705
485,1i,150.0,18,2.0666,15,65.05,False,50.0,-0.18079999999999963,0.43366666666666664,0.5,0.3888888888888889,0.05555555555555555,0.05555555555555555
490,1i,150.0,18,0.8718,16,69.05,False,28.869999999999997,-1.9255,0.4603333333333333,0.5,0.3888888888888889,0.05555555555555555,0.05555555555555555
495,1i,150.0,18,0.1108,17,69.05,False,7.909999999999997,-2.9204000000000003,0.4603333333333333,0.5,0.3888888888888889,0.05555555555555555,0.05555555555555555
500,1i,150.0,15,3.3999,11,69.05,False,3.8299999999999983,2.2451,0.4603333333333333,0.4666666666666667,0.4666666666666667,0.0,0.06666666666666667
