timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
510,1i,7,0.0,35.76,119.52
510,2i,7,2.5284,19.0,101.06
510,3i,8,0.4035,5.0,137.93
510,4i,10,1.8146,5.0,162.5
515,1i,7,0.0,35.76,119.52
515,2i,6,0.0,19.0,101.06
515,3i,8,0.3161,5.0,134.29
515,4i,10,0.7352,5.0,160.67
520,1i,7,0.0,35.76,119.52
520,2i,6,0.0,19.0,101.06
520,3i,9,2.8702,5.0,432.04
520,4i,10,0.1802,5.0,154.16
525,1i,7,0.0,35.76,119.52
525,2i,6,0.0,19.0,101.06
525,3i,9,2.6233,5.0,313.24
525,4i,10,0.1196,5.0,148.08
530,1i,7,0.0,35.76,119.52
530,2i,6,0.0,19.0,101.06
530,3i,9,2.1948,5.0,199.19
530,4i,10,0.0045,5.0,144.65
535,1i,8,2.7831,28.56,434.51
535,2i,7,5.1708,3.51,430.51
535,3i,9,0.7114,5.0,140.49
535,4i,11,1.7432,5.0,434.72
540,1i,8,2.7464,19.09,340.44
540,2i,7,3.7556,1.0,303.4
540,3i,9,0.0003,5.0,134.11
540,4i,11,1.7213,5.0,339.06
545,1i,9,4.8201,19.04,480.3
545,2i,7,2.2737,1.0,201.5
545,3i,8,0.0,23.04,134.11
545,4i,10,3.6077,5.0,474.59
550,1i,9,4.1053,19.04,358.28
550,2i,7,2.7538,1.0,115.6
550,3i,8,0.0,23.04,134.11
550,4i,11,5.5531,5.0,403.84
555,1i,9,2.9232,19.04,246.02
555,2i,7,2.5796,1.0,92.73
555,3i,8,0.0,23.04,134.11
555,4i,11,5.0639,5.0,288.38
560,1i,9,2.0552,19.04,165.33
560,2i,7,0.3189,1.0,85.2
560,3i,8,0.0,23.04,134.11
560,4i,11,3.5093,5.0,199.54
565,1i,9,1.951,19.04,156.9
565,2i,7,0.0056,1.0,83.1
565,3i,8,0.0,23.04,134.11
565,4i,10,1.8293,5.0,184.97
570,1i,9,0.8332,19.04,150.04
570,2i,7,0.0001,1.0,83.06
570,3i,8,0.0,23.04,134.11
570,4i,10,1.4234,5.0,184.95
575,1i,10,2.4913,19.04,431.05
575,2i,7,0.0,1.0,83.06
575,3i,9,2.669,23.04,432.35
575,4i,10,0.4079,0.06,184.95
580,1i,10,2.3985,19.04,311.57
580,2i,7,0.0,1.0,83.06
580,3i,9,3.031,14.91,312.9
580,4i,10,3.1858,1.0,375.0
585,1i,10,1.4572,19.04,213.21
585,2i,7,0.0,1.0,83.06
585,3i,9,2.1606,9.03,201.99
585,4i,10,2.3758,1.0,255.32
590,1i,11,4.2917,17.33,483.3
590,2i,7,0.6158,1.0,83.06
590,3i,10,4.0437,9.0,473.26
590,4i,11,3.0564,1.0,407.7
595,1i,10,3.3484,19.04,368.73
595,2i,6,0.0,1.0,83.06
595,3i,10,3.5669,9.0,378.26
595,4i,11,2.5241,1.0,286.6
600,1i,9,2.135,19.04,272.29
600,2i,6,0.0,1.0,83.06
600,3i,10,2.1963,9.0,290.29
600,4i,11,1.582,1.0,197.7
605,1i,10,4.304,19.04,456.0
605,2i,6,0.0,1.0,83.06
605,3i,10,1.4747,9.0,224.49
605,4i,13,5.7291,1.0,455.87
610,1i,10,3.9105,19.04,349.44
610,2i,6,0.0,1.0,83.06
610,3i,10,0.8662,9.0,180.85
610,4i,13,4.2341,1.0,324.28
615,1i,10,2.9834,19.04,256.01
615,2i,6,0.0,1.0,83.06
615,3i,10,0.3995,9.0,155.35
615,4i,14,4.2055,1.0,474.59
620,1i,11,3.805,1.0,455.94
620,2i,5,5.6036,7.97,456.32
620,3i,11,2.4868,9.0,456.94
620,4i,14,3.943,1.0,379.44
625,1i,11,4.0578,1.0,334.93
625,2i,4,4.997,57.05,344.22
625,3i,11,2.3872,9.0,322.18
625,4i,14,2.3991,1.0,288.21
630,1i,11,3.2599,1.0,219.46
630,2i,4,4.9794,55.87,247.54
630,3i,11,1.4491,9.0,215.47
630,4i,14,1.1932,1.0,205.34
635,1i,13,4.9504,1.0,435.13
635,2i,5,9.2639,46.84,429.75
635,3i,11,0.7089,9.0,171.26
635,4i,15,4.7923,1.0,429.87
640,1i,13,4.3805,1.0,342.65
640,2i,5,9.0983,45.08,295.35
640,3i,10,0.0001,9.0,169.82
640,4i,13,5.5471,1.0,297.27
645,1i,14,4.1551,1.0,402.64
645,2i,5,5.5032,17.86,183.53
645,3i,10,0.0,9.0,169.82
645,4i,11,2.7631,1.0,219.17
650,1i,15,4.4828,1.0,402.48
650,2i,5,3.5684,12.0,82.08
650,3i,11,2.3015,9.0,404.41
650,4i,12,3.7958,1.0,402.17
655,1i,15,3.4301,1.0,280.95
655,2i,5,1.2634,12.0,71.05
655,3i,11,1.8036,9.0,291.81
655,4i,12,2.6478,0.24,281.49
660,1i,15,2.1433,1.0,216.33
660,2i,5,0.0459,12.0,71.05
660,3i,11,1.7479,9.0,194.44
660,4i,11,0.6882,1.0,218.73
665,1i,15,0.9613,1.0,201.2
665,2i,6,4.0198,12.0,408.89
665,3i,11,1.8709,8.14,169.82
665,4i,10,0.1932,2.14,209.66
670,1i,15,0.0347,1.0,198.01
670,2i,7,6.9515,12.0,480.3
670,3i,11,2.9274,23.36,474.59
670,4i,10,2.9301,38.89,483.3
675,1i,15,0.0018,1.0,197.3
675,2i,7,5.3301,12.0,360.09
675,3i,11,2.0873,1.0,380.52
675,4i,10,3.1326,25.42,353.1
680,1i,14,2.2342,1.16,384.37
680,2i,7,3.8606,3.8,245.58
680,3i,11,1.9625,1.0,286.18
680,4i,10,2.3207,23.05,257.14
685,1i,13,4.6923,5.0,456.1
685,2i,5,3.448,45.05,176.53
685,3i,12,3.9892,1.0,456.54
685,4i,10,1.8906,23.04,209.66
690,1i,12,4.2101,5.0,321.77
690,2i,5,2.91,45.05,176.53
690,3i,13,5.3622,1.0,480.3
690,4i,10,1.8797,23.04,209.66
695,1i,12,2.9788,5.0,227.55
695,2i,5,3.0406,6.88,176.53
695,3i,13,3.8914,1.0,359.32
695,4i,10,1.2476,20.56,209.66
700,1i,11,1.3077,5.0,197.28
700,2i,4,0.0,45.05,176.53
700,3i,13,2.9293,1.0,251.15
700,4i,10,0.4994,9.12,208.89
705,1i,12,3.7424,5.0,483.3
705,2i,4,0.0,45.05,176.53
705,3i,13,1.5302,1.0,199.66
705,4i,10,0.3043,9.0,205.01
710,1i,12,3.1478,0.86,347.77
710,2i,4,0.0,45.05,176.53
710,3i,13,0.1657,1.0,191.28
710,4i,10,0.3314,9.0,197.05
715,1i,11,1.8413,1.0,249.54
715,2i,4,0.0781,44.74,176.53
715,3i,13,0.0574,1.0,185.35
715,4i,10,0.0815,9.0,192.44
720,1i,11,0.3171,1.0,216.38
720,2i,4,0.6589,36.66,176.53
720,3i,14,1.8921,1.0,456.88
720,4i,10,0.0078,9.0,191.68
725,1i,11,0.3134,1.0,216.29
725,2i,4,0.6618,33.06,176.53
725,3i,13,2.3761,23.17,322.63
725,4i,9,0.0003,23.04,191.62
730,1i,11,0.2758,1.0,216.29
730,2i,4,0.0627,33.05,176.53
730,3i,12,1.6765,16.16,226.82
730,4i,9,0.0,23.04,191.62
735,1i,11,0.1326,1.0,216.29
735,2i,6,8.4228,33.05,457.27
735,3i,11,0.0728,30.01,198.02
735,4i,9,0.0,23.04,191.62
740,1i,11,0.1562,1.0,216.29
740,2i,6,8.4864,33.05,335.73
740,3i,11,0.0,30.01,197.83
740,4i,9,0.0,23.04,191.62
745,1i,11,0.1876,1.0,215.84
745,2i,6,6.7599,33.05,242.02
745,3i,11,0.0,30.01,197.83
745,4i,9,0.0,23.04,191.62
750,1i,11,0.3587,1.0,213.36
750,2i,6,3.3227,33.05,210.54
750,3i,11,0.0,30.01,197.83
750,4i,9,0.0,23.04,191.62
755,1i,11,0.1175,1.0,208.82
755,2i,6,1.0901,33.05,202.08
755,3i,11,0.0,30.01,197.83
755,4i,9,0.0,23.04,191.62
760,1i,11,0.0533,1.0,204.83
760,2i,6,0.0206,31.76,199.52
760,3i,11,0.3565,23.41,197.83
760,4i,9,0.3573,16.52,191.62
765,1i,11,0.0051,1.0,204.32
765,2i,6,0.0014,31.75,199.26
765,3i,11,0.3816,12.24,197.83
765,4i,9,0.3768,9.08,191.62
770,1i,11,2.1756,5.0,432.62
770,2i,6,0.0816,30.87,199.24
770,3i,12,2.5333,12.0,430.35
770,4i,9,0.3811,9.0,191.62
775,1i,11,1.9993,5.0,315.0
775,2i,6,0.5574,17.52,199.24
775,3i,12,1.9936,12.0,327.06
775,4i,9,0.1115,9.0,191.62
780,1i,11,1.2755,5.0,228.92
780,2i,5,0.0,33.05,199.24
780,3i,12,1.8317,12.0,239.39
780,4i,9,0.1728,9.0,191.62
785,1i,11,1.5425,5.0,204.28
785,2i,6,4.0196,33.05,407.59
785,3i,13,3.8286,12.0,402.08
785,4i,9,0.4031,9.0,191.53
790,1i,11,1.3094,5.0,204.28
790,2i,6,3.2623,33.05,293.46
790,3i,13,2.8549,12.0,287.44
790,4i,9,0.4743,9.0,190.16
795,1i,11,0.527,3.8,204.28
795,2i,6,2.6446,33.05,211.75
795,3i,14,3.2735,12.0,385.26
795,4i,10,2.1942,9.0,397.25
800,1i,11,2.3546,1.0,385.5
800,2i,6,2.9156,33.05,199.24
800,3i,14,2.5188,12.0,281.38
800,4i,10,1.9107,9.0,305.2
805,1i,10,1.9003,1.0,283.8
805,2i,7,6.2698,28.8,483.3
805,3i,14,1.3522,12.0,233.33
805,4i,11,3.8543,9.0,480.3
810,1i,10,2.1077,1.0,204.28
810,2i,7,4.4017,6.28,353.21
810,3i,15,1.7619,12.0,480.3
810,4i,11,3.5049,9.0,360.96
815,1i,10,2.2846,1.0,204.28
815,2i,7,2.148,5.0,263.64
815,3i,15,1.5732,12.0,361.53
815,4i,11,3.0983,9.0,240.92
820,1i,10,1.5951,1.0,204.28
820,2i,7,0.0366,5.0,241.3
820,3i,16,3.338,5.14,483.3
820,4i,12,4.5694,9.0,480.3
825,1i,10,0.1493,1.0,204.28
825,2i,7,0.0055,5.0,241.29
825,3i,14,3.0507,12.0,348.18
825,4i,11,3.5563,9.0,359.48
830,1i,10,0.2969,1.0,204.27
830,2i,7,0.0959,5.0,241.29
830,3i,14,3.122,12.0,218.58
830,4i,10,2.3656,9.0,238.07
835,1i,11,1.9205,1.0,455.91
835,2i,7,0.1813,5.0,241.28
835,3i,14,2.7089,12.0,218.58
835,4i,10,2.3881,9.0,177.58
840,1i,11,2.0149,1.0,363.18
840,2i,7,0.2237,5.0,240.86
840,3i,14,0.7813,1.0,218.58
