timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
335,1i,2,0.0,4.76,30.76
335,2i,6,2.7861,12.0,64.92
335,3i,1,18.8867,192.26,192.26
335,4i,0,,,
340,1i,2,0.0,4.76,30.76
340,2i,6,1.5362,3.84,57.76
340,3i,1,17.583,99.41,99.41
340,4i,0,,,
345,1i,2,0.0,4.76,30.76
345,2i,5,0.0,12.0,57.76
345,3i,1,12.5163,21.07,21.07
345,4i,0,,,
350,1i,1,0.0,30.76,30.76
350,2i,5,0.2302,10.85,57.76
350,3i,1,0.0,1.0,1.0
350,4i,0,,,
355,1i,1,1.0879,29.43,29.43
355,2i,4,1.2981,15.76,57.76
355,3i,1,0.0,1.0,1.0
355,4i,0,,,
360,1i,1,0.6153,19.45,19.45
360,2i,4,1.42,8.07,52.24
360,3i,1,0.0,1.0,1.0
360,4i,0,,,
365,1i,1,0.0066,19.01,19.01
365,2i,4,0.2288,8.0,43.5
365,3i,1,27.77,483.3,483.3
365,4i,0,,,
370,1i,1,0.0,19.0,19.0
370,2i,4,0.0019,8.0,42.76
370,3i,1,27.0842,348.19,348.19
370,4i,0,,,
375,1i,2,9.589,19.0,416.17
375,2i,5,5.3682,8.0,403.21
375,3i,1,27.2102,214.22,214.22
375,4i,0,,,
380,1i,2,9.5719,19.0,320.03
380,2i,5,5.3658,8.0,269.58
380,3i,1,24.4948,83.37,83.37
380,4i,0,,,
385,1i,2,9.6363,19.0,224.25
385,2i,5,5.261,8.0,134.45
385,3i,1,11.8676,0.58,0.58
385,4i,0,,,
390,1i,2,7.3863,19.0,141.39
390,2i,5,2.6956,8.0,43.51
390,3i,0,,,
390,4i,0,,,
395,1i,2,5.1814,19.0,80.75
395,2i,6,3.4073,8.0,400.2
395,3i,0,,,
395,4i,0,,,
400,1i,2,2.9314,19.0,42.44
400,2i,7,6.2753,8.0,455.48
400,3i,0,,,
400,4i,0,,,
405,1i,2,0.6814,19.0,26.62
405,2i,7,6.2056,8.0,334.04
405,3i,0,,,
405,4i,0,,,
410,1i,2,0.3861,19.0,24.86
410,2i,6,6.9751,8.0,212.08
410,3i,0,,,
410,4i,0,,,
415,1i,3,9.8335,9.84,382.14
415,2i,7,8.426,8.0,372.91
415,3i,2,26.8147,374.32,377.09
415,4i,1,26.8662,376.64,376.64
420,1i,2,12.3626,19.0,262.74
420,2i,6,6.9585,8.0,237.96
420,3i,2,27.0954,239.84,243.66
420,4i,1,27.6017,240.3,240.3
425,1i,2,11.8402,19.0,142.86
425,2i,5,2.9918,8.0,140.18
425,3i,2,25.9192,106.93,111.24
425,4i,1,25.4092,107.69,107.69
430,1i,2,8.7188,19.0,35.76
430,2i,6,3.499,8.0,473.26
430,3i,2,11.7979,18.38,24.22
430,4i,1,12.2673,21.78,21.78
435,1i,1,0.0,19.0,19.0
435,2i,6,3.1718,8.0,377.18
435,3i,2,0.8266,1.0,1.15
435,4i,1,0.0,1.0,1.0
440,1i,1,0.0,19.0,19.0
440,2i,6,3.656,5.13,281.13
440,3i,2,0.0005,1.0,1.0
440,4i,1,0.0,1.0,1.0
445,1i,1,3.049,1.47,1.47
445,2i,5,5.9188,3.77,186.26
445,3i,3,7.9125,1.0,433.16
445,4i,1,0.0,1.0,1.0
450,1i,1,0.0016,1.0,1.0
450,2i,5,3.981,1.01,105.41
450,3i,3,7.8168,1.0,314.03
450,4i,1,0.0,1.0,1.0
455,1i,1,0.0,1.0,1.0
455,2i,5,2.8033,1.0,102.18
455,3i,2,12.3427,1.0,193.75
455,4i,0,,,
460,1i,1,0.0,1.0,1.0
460,2i,5,0.3044,1.0,92.49
460,3i,3,15.0336,1.0,384.22
460,4i,1,27.7068,374.34,374.34
465,1i,1,0.0,1.0,1.0
465,2i,5,0.0791,1.0,84.98
465,3i,2,12.196,1.0,263.74
465,4i,1,27.205,240.23,240.23
470,1i,1,0.0,1.0,1.0
470,2i,7,7.511,1.0,457.04
470,3i,2,12.2637,1.0,143.05
470,4i,1,23.929,109.87,109.87
475,1i,1,0.0,1.0,1.0
475,2i,7,7.6431,1.0,323.35
475,3i,2,7.5618,1.0,42.72
475,4i,1,11.8191,24.52,24.52
480,1i,1,0.0,1.0,1.0
480,2i,7,7.1833,1.0,195.87
480,3i,2,1.3862,1.0,5.47
480,4i,1,0.094,5.05,5.05
485,1i,1,0.0,1.0,1.0
485,2i,7,3.867,1.0,120.12
485,3i,0,,,
485,4i,0,,,
490,1i,1,0.0,1.0,1.0
490,2i,7,0.7689,1.0,105.23
490,3i,1,24.7482,406.74,406.74
490,4i,0,,,
495,1i,1,0.0,1.0,1.0
495,2i,7,0.0,1.0,105.22
495,3i,1,24.2489,285.4,285.4
495,4i,0,,,
500,1i,1,0.0,1.0,1.0
500,2i,6,0.3983,1.0,105.22
500,3i,1,23.8002,165.38,165.38
500,4i,0,,,
505,1i,1,0.0,1.0,1.0
505,2i,5,0.0,1.0,105.22
505,3i,1,18.9155,51.49,51.49
505,4i,0,,,
510,1i,2,13.0774,1.0,431.09
510,2i,5,0.0,1.0,105.22
510,3i,1,3.9155,1.92,1.92
510,4i,0,,,
515,1i,2,13.8126,1.0,296.33
515,2i,6,4.5102,1.0,402.03
515,3i,1,0.0,1.0,1.0
515,4i,0,,,
520,1i,2,13.1898,1.0,163.06
520,2i,6,4.5052,1.0,268.94
520,3i,1,0.0,1.0,1.0
520,4i,0,,,
525,1i,2,9.0511,1.0,46.61
525,2i,6,2.7223,1.0,160.61
525,3i,1,0.0,1.0,1.0
525,4i,0,,,
530,1i,1,3.1021,1.1,1.1
530,2i,5,3.5174,0.17,105.22
530,3i,1,0.0,1.0,1.0
530,4i,0,,,
535,1i,2,13.8553,1.0,374.3
535,2i,4,3.5459,5.18,105.22
535,3i,1,0.0,1.0,1.0
535,4i,0,,,
540,1i,2,13.5319,1.0,239.72
540,2i,4,0.1315,1.0,105.22
540,3i,1,0.0,1.0,1.0
540,4i,0,,,
545,1i,2,7.4187,1.0,139.34
545,2i,4,0.6172,1.0,103.3
545,3i,0,,,
545,4i,0,,,
550,1i,4,14.8271,1.0,417.64
550,2i,4,0.8588,1.0,96.39
550,3i,0,,,
550,4i,1,27.3112,402.15,402.15
555,1i,4,11.9208,1.0,322.48
555,2i,4,0.7148,1.0,85.49
555,3i,0,,,
555,4i,1,26.0317,269.58,269.58
560,1i,4,10.9474,1.0,228.68
560,2i,4,0.013,1.0,84.56
560,3i,0,,,
560,4i,1,27.0128,134.24,134.24
565,1i,4,7.6917,1.0,148.49
565,2i,4,0.0001,1.0,84.51
565,3i,0,,,
565,4i,1,13.5434,40.47,40.47
570,1i,6,9.3263,1.0,455.81
570,2i,5,3.8099,1.0,399.96
570,3i,0,,,
570,4i,1,2.0313,8.11,8.11
575,1i,6,7.8326,1.0,320.44
575,2i,5,3.6921,1.0,305.81
575,3i,0,,,
575,4i,1,2.9258,3.16,3.16
580,1i,6,6.8235,1.0,206.15
580,2i,5,3.7159,1.0,212.99
580,3i,0,,,
580,4i,0,,,
585,1i,6,5.4314,1.0,127.0
585,2i,5,3.2961,1.0,121.3
585,3i,0,,,
585,4i,0,,,
590,1i,5,10.7645,1.3,375.61
590,2i,6,8.4274,1.0,436.21
590,3i,0,,,
590,4i,0,,,
595,1i,3,12.2372,19.84,239.62
595,2i,6,7.4415,1.0,336.9
595,3i,0,,,
595,4i,1,23.4937,407.35,407.35
600,1i,2,12.8869,92.84,104.71
600,2i,5,6.7874,1.0,246.18
600,3i,0,,,
600,4i,1,23.4046,286.95,286.95
605,1i,3,12.601,13.55,480.3
605,2i,7,9.355,1.0,474.59
605,3i,0,,,
605,4i,1,23.4049,167.65,167.65
610,1i,3,14.1109,92.84,418.48
610,2i,8,10.2721,1.0,416.38
610,3i,0,,,
610,4i,1,16.4527,62.06,62.06
615,1i,3,14.2421,92.84,323.79
615,2i,8,8.1432,1.0,319.01
615,3i,0,,,
615,4i,1,4.2182,16.74,16.74
620,1i,3,14.4403,92.84,229.18
620,2i,7,7.1169,1.01,231.37
620,3i,0,,,
620,4i,2,13.5541,15.04,456.19
625,1i,3,10.806,30.79,143.28
625,2i,8,8.3626,1.0,480.3
625,3i,0,,,
625,4i,2,13.5218,15.04,323.46
