timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m,true_queue_length_m,true_queue_beyond_camera
175,1i,150.0,4,0.9096,2,1.0,False,7,11.6639,1.0,322.83,scenario_high_demand,train,development,0.5,-8.0,-7.3455,0.0066666666666666,3.0,-133.37,7.0,1.0,False,50.0,26.666666666666668,87.3216,-0.2666666666666666,,1.0,False
180,1i,150.0,5,4.3933,4,13.71,False,7,10.8234,1.0,188.57,scenario_high_demand,train,development,0.5,4.710000000000001,1.3108,0.0914,2.0,-243.16000000000005,7.0,6.0,False,55.0,33.333333333333336,527.196,0.157,,13.71,False
185,1i,150.0,7,6.6239,4,13.71,False,8,9.2672,1.0,483.3,scenario_high_demand,train,development,0.5,4.710000000000001,5.3269,0.0914,3.0,171.32,0.0,4.0,True,,46.66666666666667,1112.8152,0.157,,13.71,False
190,1i,150.0,7,1.6063,4,13.71,False,9,6.9384,1.0,480.3,scenario_high_demand,train,development,0.5,0.7000000000000011,-2.7144000000000004,0.0914,4.0,288.59000000000003,0.0,9.0,True,,46.66666666666667,269.8584,0.0233333333333333,,13.71,False
195,1i,150.0,7,0.0022,7,20.71,False,9,5.8273,1.0,358.11,scenario_high_demand,train,development,0.5,7.710000000000001,-7.0999,0.1380666666666666,3.0,-97.33999999999996,0.0,14.0,True,,46.66666666666667,0.3696,0.257,,20.71,False
200,1i,150.0,8,2.5844,7,20.71,False,9,5.0345,1.0,237.22,scenario_high_demand,train,development,0.5,7.710000000000001,-0.2557999999999998,0.1380666666666666,2.0,-219.51,0.0,19.0,True,,53.333333333333336,496.2048000000001,0.257,,20.71,False
205,1i,150.0,10,5.2804,7,20.71,False,9,3.5474,1.0,117.46,scenario_high_demand,train,development,0.5,19.71,4.3708,0.1380666666666666,2.0,-205.37,0.0,24.0,True,,66.66666666666667,1267.2960000000005,0.657,,20.71,False
210,1i,150.0,10,1.8346,8,20.71,False,9,1.2744,1.0,34.85,scenario_high_demand,train,development,0.5,7.0,-2.5587,0.1380666666666666,2.0,-153.72,1.0,4.0,False,5.0,66.66666666666667,440.304,0.2333333333333333,,20.71,False
215,1i,150.0,10,0.0916,9,24.72,False,10,2.0163,1.0,396.44,scenario_high_demand,train,development,0.5,11.009999999999998,-6.5323,0.1648,2.0,-86.86000000000001,2.0,2.0,True,,66.66666666666667,21.984,0.3669999999999999,,24.72,False
220,1i,150.0,10,0.0,10,24.71,False,10,1.9071,1.0,300.42,scenario_high_demand,train,development,0.5,11.0,-1.6063,0.1647333333333333,1.0,-179.88,3.0,1.0,False,5.0,66.66666666666667,0.0,0.3666666666666666,,24.71,False
225,1i,150.0,12,2.9337,10,24.71,False,10,1.8209,1.0,205.56,scenario_high_demand,train,development,0.5,4.0,2.9315,0.1647333333333333,1.0,-152.55,3.0,6.0,False,10.0,80.0,844.9056,0.1333333333333333,,24.71,False
230,1i,150.0,9,5.4213,4,24.71,False,6,4.2735,1.0,128.01,scenario_high_demand,train,development,0.5,4.0,2.8368999999999995,0.1647333333333333,-3.0,-109.21,4.0,4.0,False,15.0,60.0,1171.0007999999998,0.1333333333333333,,24.71,False
235,1i,150.0,6,2.8402,4,24.71,False,4,2.3024,1.0,72.96,scenario_high_demand,train,development,0.5,4.0,-2.4402000000000004,0.1647333333333333,-5.0,-44.5,4.0,9.0,False,20.0,40.0,408.9888,0.1333333333333333,,24.71,False
240,1i,150.0,6,3.7329,4,24.71,False,4,1.2103,1.0,40.28,scenario_high_demand,train,development,0.5,4.0,1.8983,0.1647333333333333,-5.0,5.43,4.0,14.0,False,25.0,40.0,537.5376,0.1333333333333333,,24.71,False
245,1i,150.0,8,8.4908,4,24.71,False,4,0.1911,1.0,28.73,scenario_high_demand,train,development,0.5,-0.009999999999998,8.3992,0.1647333333333333,-6.0,-367.71,4.0,19.0,False,30.0,53.333333333333336,1630.2336,-0.0003333333333332,,24.71,False
250,1i,150.0,7,3.7564,5,28.72,False,4,0.0,1.0,28.72,scenario_high_demand,train,development,0.5,4.009999999999998,3.7564,0.1914666666666666,-6.0,-271.70000000000005,4.0,24.0,False,35.0,46.66666666666667,631.0752000000001,0.1336666666666666,,28.72,False
255,1i,150.0,6,0.0023,6,42.77,False,4,0.0,1.0,28.72,scenario_high_demand,train,development,0.5,18.06,-2.9314,0.2851333333333333,-6.0,-176.84,5.0,4.0,False,40.0,40.0,0.3312,0.6020000000000001,,42.77,False
260,1i,150.0,6,4.0872,4,42.76,False,3,1.0895,10.24,28.72,scenario_high_demand,train,development,0.5,18.05,-1.3340999999999994,0.2850666666666666,-3.0,-99.29,6.0,2.0,False,45.0,40.0,588.5568000000001,0.6016666666666666,,42.76,False
265,1i,150.0,5,5.2221,0,0.0,False,2,2.777,1.31,22.63,scenario_high_demand,train,development,0.5,-24.71,2.3819000000000004,0.0,-2.0,-50.33,7.0,1.0,False,50.0,33.333333333333336,626.652,-0.8236666666666667,,0.0,False
270,1i,150.0,7,5.0207,2,5.01,False,2,0.697,1.0,9.77,scenario_high_demand,train,development,0.5,-19.700000000000003,1.2877999999999998,0.0334,-2.0,-30.51,7.0,6.0,False,55.0,46.66666666666667,843.4776,-0.6566666666666667,,5.01,False
275,1i,150.0,7,1.0968,5,23.05,False,3,8.2175,1.0,455.65,scenario_high_demand,train,development,0.5,-1.66,-7.394,0.1536666666666666,-1.0,426.92,0.0,4.0,True,,46.66666666666667,184.2624,-0.0553333333333333,,23.05,False
280,1i,150.0,8,2.9559,7,27.05,False,3,8.2587,1.0,334.85,scenario_high_demand,train,development,0.5,-1.6699999999999982,-0.8005,0.1803333333333333,-1.0,306.13,0.0,9.0,True,,53.333333333333336,567.5328000000001,-0.0556666666666666,,27.05,False
285,1i,150.0,8,2.0212,7,27.05,False,3,7.9115,1.0,214.6,scenario_high_demand,train,development,0.5,-15.720000000000002,2.0189,0.1803333333333333,-1.0,185.88,0.0,14.0,True,,53.333333333333336,388.0704,-0.5240000000000001,,27.05,False
290,1i,150.0,10,4.3133,7,27.05,False,3,7.3731,1.0,96.19,scenario_high_demand,train,development,0.5,-15.709999999999996,0.2260999999999997,0.1803333333333333,0.0,67.47,0.0,19.0,True,,66.66666666666667,1035.192,-0.5236666666666666,,27.05,False
295,1i,150.0,10,1.4009,8,27.05,False,3,3.5515,1.0,20.18,scenario_high_demand,train,development,0.5,27.05,-3.8212,0.1803333333333333,1.0,-2.4499999999999997,0.0,24.0,True,,66.66666666666667,336.216,0.9016666666666668,,27.05,False
300,1i,150.0,11,2.2933,10,31.05,False,3,0.0005,1.0,9.0,scenario_high_demand,train,development,0.5,26.04,-2.7274,0.207,1.0,-0.7699999999999996,1.0,4.0,False,5.0,73.33333333333334,605.4312,0.868,,31.05,False
305,1i,150.0,11,1.2692,10,31.05,False,3,0.0,1.0,9.0,scenario_high_demand,train,development,0.5,8.0,0.1724000000000001,0.207,0.0,-446.65,2.0,2.0,True,,73.33333333333334,335.0688000000001,0.2666666666666666,,31.05,False
310,1i,150.0,13,3.3432,10,31.05,False,4,6.7914,1.0,402.9,scenario_high_demand,train,development,0.5,4.0,0.3872999999999997,0.207,1.0,68.04999999999995,3.0,1.0,False,5.0,86.66666666666667,1043.0784,0.1333333333333333,,31.05,False
