timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m,q_u_cheng_veh_per_hour,k_cp1_cheng_veh_per_km,cheng_t_cp2_s,cheng_l_cp2_m,max_queue_length_cheng_m,cheng_t_cp3_s
160,1i,150.0,4,5.4732,2,13.71,False,1,10.4066,0.58,0.58,scenario_normal_balanced,train,development,0.11,-1.3299999999999983,1.9217000000000004,0.09140000000000001,0.0,-0.42000000000000004,4.0,24.0,False,30,26.666666666666668,525.4272000000001,-0.04433333333333327,,,,130.0,1.001,,137.0
165,1i,150.0,3,2.3621,2,13.71,False,1,27.77,483.3,483.3,scenario_normal_balanced,train,development,0.11,-8.329999999999998,2.0873,0.09140000000000001,0.0,482.3,5.0,4.0,False,35,20.0,170.0712,-0.2776666666666666,,,,130.0,1.001,,137.0
170,1i,150.0,2,2.3968,0,0.0,False,1,26.7215,350.09,350.09,scenario_normal_balanced,train,development,0.11,-13.71,1.3399999999999999,0.0,0.0,-82.59000000000003,6.0,2.0,False,40,13.333333333333334,115.0464,-0.457,,,,130.0,1.001,,137.0
175,1i,150.0,2,13.2261,0,0.0,False,1,27.145,214.31,214.31,scenario_normal_balanced,train,development,0.11,-13.71,13.2261,0.0,0.0,-98.67000000000002,7.0,1.0,False,45,13.333333333333334,634.8528000000001,-0.457,,,,130.0,1.001,,137.0
180,1i,150.0,4,13.4864,1,1.0,False,1,20.8759,89.87,89.87,scenario_normal_balanced,train,development,0.11,-12.71,6.1823999999999995,0.006666666666666667,0.0,-102.44999999999999,7.0,6.0,False,50,26.666666666666668,1294.6944,-0.4236666666666667,,,,130.0,1.001,,137.0
185,1i,150.0,4,4.1985,2,1.0,False,1,7.6219,24.16,24.16,scenario_normal_balanced,train,development,0.11,-12.71,-6.063299999999999,0.006666666666666667,0.0,-49.650000000000006,0.0,4.0,True,,26.666666666666668,403.05600000000004,-0.4236666666666667,,,,130.0,1.001,,137.0
190,1i,150.0,4,0.0466,4,15.05,False,1,0.0616,15.05,15.05,scenario_normal_balanced,train,development,0.11,1.3399999999999999,-5.4266000000000005,0.10033333333333334,0.0,14.47,0.0,9.0,True,,26.666666666666668,4.473600000000001,0.04466666666666666,,140.1498645517241,20.389574630625948,188.0,15.2979,,137.0
195,1i,150.0,4,0.0,4,15.04,False,2,13.4943,15.04,402.6,scenario_normal_balanced,train,development,0.11,1.3299999999999983,-2.3621,0.10026666666666666,1.0,-80.69999999999999,0.0,14.0,True,,26.666666666666668,0.0,0.04433333333333327,,140.1498645517241,20.389574630625948,188.0,15.2979,,137.0
200,1i,150.0,5,5.2135,4,15.04,False,2,13.8433,15.04,267.52,scenario_normal_balanced,train,development,0.11,15.04,2.8167,0.10026666666666666,1.0,-82.57,0.0,19.0,True,,33.333333333333336,625.62,0.5013333333333333,,140.1498645517241,20.389574630625948,188.0,15.2979,,137.0
205,1i,150.0,7,9.6021,4,15.04,False,2,13.0945,15.04,132.75,scenario_normal_balanced,train,development,0.11,15.04,-3.6240000000000006,0.10026666666666666,1.0,-81.56,0.0,24.0,True,,46.66666666666667,1613.1528,0.5013333333333333,,140.1498645517241,20.389574630625948,188.0,15.2979,,137.0
