timestamp,vehicle_id,vehicle_type,edge_id,lane_id,is_internal_edge,is_approach_edge,lane_position_m,lane_length_m,distance_from_stop_line_m,speed_mps,acceleration_mps2,waiting_time_s,x,y,angle_deg
11.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,203.5187,484.9,281.3813,18.9051,-0.4622,0.0,215.0187,505.2,90.0
11.0,f_2i_left_6.0,bike,2i,2i_2,0,1,270.5759,484.9,214.3241,27.735,0.2964,0.0,737.9241,511.6,270.0
11.0,f_2i_right_8.0,bike,2i,2i_0,0,1,268.2182,484.9,216.6818,26.2536,-0.4416,0.0,740.2818,518.0,270.0
11.0,f_2i_straight_7.0,car,2i,2i_1,0,1,246.163,484.9,238.737,24.5622,-0.2786,0.0,762.337,514.8,270.0
11.0,f_3i_left_3.0,car,3i,3i_2,0,1,241.8146,484.9,243.0854,24.8314,1.44,0.0,511.6,253.3146,0.0
11.0,f_3i_right_5.0,bike,3i,3i_0,0,1,269.646,484.9,215.254,27.2069,0.7321,0.0,518.0,281.146,0.0
11.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,269.8689,484.9,215.0311,27.5206,0.9605,0.0,514.8,281.3689,0.0
11.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,198.7448,484.9,286.1552,18.3478,0.0954,0.0,508.4,809.7552,180.0
11.0,f_4i_right_2.0,bike,4i,4i_0,0,1,265.2498,484.9,219.6502,26.3408,-0.0617,0.0,502.0,743.2502,180.0
11.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,196.5348,484.9,288.3652,18.2524,-0.1526,0.0,505.2,811.9652,180.0
12.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,216.7414,484.9,268.1586,18.4725,-0.6998,0.0,228.2414,508.4,90.0
12.0,f_1i_right_11.0,bike,1i,1i_0,0,1,294.9701,484.9,189.9299,27.027,0.1865,0.0,306.4701,502.0,90.0
12.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,222.8565,484.9,262.0435,19.3379,0.4328,0.0,234.3565,505.2,90.0
12.0,f_2i_left_6.0,bike,2i,2i_2,0,1,296.8154,484.9,188.0846,26.2395,-1.4956,0.0,711.6846,511.6,270.0
12.0,f_2i_right_8.0,bike,2i,2i_0,0,1,295.4217,484.9,189.4783,27.2035,0.95,0.0,713.0783,518.0,270.0
12.0,f_2i_straight_7.0,car,2i,2i_1,0,1,271.1238,484.9,213.7762,24.9608,0.3987,0.0,737.3762,514.8,270.0
12.0,f_3i_left_3.0,car,3i,3i_2,0,1,266.7785,484.9,218.1215,24.9639,0.1325,0.0,511.6,278.2785,0.0
12.0,f_3i_right_5.0,bike,3i,3i_0,0,1,296.8266,484.9,188.0734,27.1807,-0.0263,0.0,518.0,308.3266,0.0
12.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,297.1841,484.9,187.7159,27.3151,-0.2054,0.0,514.8,308.6841,0.0
12.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,217.7643,484.9,267.1357,19.0195,0.6717,0.0,508.4,790.7357,180.0
12.0,f_4i_right_2.0,bike,4i,4i_0,0,1,292.413,484.9,192.487,27.1632,0.8225,0.0,502.0,716.087,180.0
12.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,215.469,484.9,269.431,18.9342,0.6819,0.0,505.2,793.031,180.0
13.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,235.2638,484.9,249.6362,18.5224,0.05,0.0,246.7638,508.4,90.0
13.0,f_1i_right_11.0,bike,1i,1i_0,0,1,322.6702,484.9,162.2298,27.7001,0.6731,0.0,334.1702,502.0,90.0
13.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,242.1359,484.9,242.7641,19.2793,-0.0586,0.0,253.6359,505.2,90.0
13.0,f_2i_left_6.0,bike,2i,2i_2,0,1,324.2117,484.9,160.6883,27.3963,1.1568,0.0,684.2883,511.6,270.0
13.0,f_2i_right_8.0,bike,2i,2i_0,0,1,322.7215,484.9,162.1785,27.2999,0.0963,0.0,685.7785,518.0,270.0
13.0,f_2i_straight_7.0,car,2i,2i_1,0,1,295.2485,484.9,189.6515,24.1247,-0.8362,0.0,713.2515,514.8,270.0
13.0,f_3i_left_3.0,car,3i,3i_2,0,1,291.4691,484.9,193.4309,24.6906,-0.2733,0.0,511.6,302.9691,0.0
13.0,f_3i_right_5.0,bike,3i,3i_0,0,1,322.8988,484.9,162.0012,26.0722,-1.1085,0.0,518.0,334.3988,0.0
13.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,323.5633,484.9,161.3367,26.3793,-0.9358,0.0,514.8,335.0633,0.0
13.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,236.8509,484.9,248.0491,19.0865,0.0671,0.0,508.4,771.6491,180.0
13.0,f_4i_right_2.0,bike,4i,4i_0,0,1,318.5995,484.9,166.3005,26.1865,-0.9767,0.0,502.0,689.9005,180.0
13.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,234.5344,484.9,250.3656,19.0654,0.1311,0.0,505.2,773.9656,180.0
14.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,253.7303,484.9,231.1697,18.4665,-0.0559,0.0,265.2303,508.4,90.0
14.0,f_1i_right_11.0,bike,1i,1i_0,0,1,349.8252,484.9,135.0748,27.1549,-0.5452,0.0,361.3252,502.0,90.0
14.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,261.0118,484.9,223.8882,18.8759,-0.4034,0.0,272.5118,505.2,90.0
14.0,f_2i_left_6.0,bike,2i,2i_2,0,1,350.564,484.9,134.336,26.3523,-1.044,0.0,657.936,511.6,270.0
14.0,f_2i_right_8.0,bike,2i,2i_0,0,1,349.095,484.9,135.805,26.3734,-0.9264,0.0,659.405,518.0,270.0
14.0,f_2i_straight_7.0,car,2i,2i_1,0,1,319.9206,484.9,164.9794,24.6721,0.5474,0.0,688.5794,514.8,270.0
14.0,f_3i_left_3.0,car,3i,3i_2,0,1,315.2637,484.9,169.6363,23.7947,-0.8959,0.0,511.6,326.7637,0.0
14.0,f_3i_right_5.0,bike,3i,3i_0,0,1,349.1992,484.9,135.7008,26.3004,0.2282,0.0,518.0,360.6992,0.0
14.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,350.3653,484.9,134.5347,26.802,0.4228,0.0,514.8,361.8653,0.0
14.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,256.1016,484.9,228.7984,19.2507,0.1642,0.0,508.4,752.3984,180.0
14.0,f_4i_right_2.0,bike,4i,4i_0,0,1,344.9427,484.9,139.9573,26.3432,0.1567,0.0,502.0,663.5573,180.0
14.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,253.6575,484.9,231.2425,19.1231,0.0578,0.0,505.2,754.8425,180.0
15.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,272.0423,484.9,212.8577,18.312,-0.1545,0.0,283.5423,508.4,90.0
15.0,f_1i_right_11.0,bike,1i,1i_0,0,1,375.213,484.9,109.687,25.3878,-1.7671,0.0,386.713,502.0,90.0
15.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,279.8641,484.9,205.0359,18.8523,-0.0236,0.0,291.3641,505.2,90.0
15.0,f_2i_left_6.0,bike,2i,2i_2,0,1,377.2295,484.9,107.6705,26.6656,0.3133,0.0,631.2705,511.6,270.0
15.0,f_2i_right_8.0,bike,2i,2i_0,0,1,375.5897,484.9,109.3103,26.4948,0.1214,0.0,632.9103,518.0,270.0
15.0,f_2i_straight_7.0,car,2i,2i_1,0,1,343.5103,484.9,141.3897,23.5897,-1.0824,0.0,664.9897,514.8,270.0
15.0,f_3i_left_3.0,car,3i,3i_2,0,1,338.9405,484.9,145.9595,23.6767,-0.1179,0.0,511.6,350.4405,0.0
15.0,f_3i_right_5.0,bike,3i,3i_0,0,1,374.2424,484.9,110.6576,25.0433,-1.2571,0.0,518.0,385.7424,0.0
15.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,377.9727,484.9,106.9273,27.6074,0.8054,0.0,514.8,389.4727,0.0
15.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,274.92,484.9,209.98,18.8184,-0.4323,0.0,508.4,733.58,180.0
15.0,f_4i_right_2.0,bike,4i,4i_0,0,1,370.8841,484.9,114.0159,25.9414,-0.4018,0.0,502.0,637.6159,180.0
15.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,272.6604,484.9,212.2396,19.0028,-0.1203,0.0,505.2,735.8396,180.0
16.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,291.0056,484.9,193.8944,18.9633,0.6513,0.0,302.5056,508.4,90.0
16.0,f_1i_right_11.0,bike,1i,1i_0,0,1,398.8864,484.9,86.0136,23.6734,-1.7144,0.0,410.3864,502.0,90.0
16.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,298.9469,484.9,185.9531,19.0828,0.2305,0.0,310.4469,505.2,90.0
16.0,f_1i_straight_10.1,car,1i,1i_1,0,1,4.6,484.9,480.3,25.0,0.0,0.0,16.1,505.2,90.0
16.0,f_2i_left_6.0,bike,2i,2i_2,0,1,401.0632,484.9,83.8368,23.8337,-2.8319,0.0,607.4368,511.6,270.0
16.0,f_2i_right_8.0,bike,2i,2i_0,0,1,399.2845,484.9,85.6155,23.6948,-2.8,0.0,609.2155,518.0,270.0
16.0,f_2i_straight_7.0,car,2i,2i_1,0,1,366.8162,484.9,118.0838,23.3059,-0.2838,0.0,641.6838,514.8,270.0
16.0,f_2i_straight_7.1,car,2i,2i_1,0,1,4.6,484.9,480.3,25.0,0.0,0.0,1003.9,514.8,270.0
16.0,f_3i_left_3.0,car,3i,3i_2,0,1,363.1845,484.9,121.7155,24.244,0.5673,0.0,511.6,374.6845,0.0
16.0,f_3i_right_5.0,bike,3i,3i_0,0,1,397.7742,484.9,87.1258,23.5317,-1.5115,0.0,518.0,409.2742,0.0
16.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,404.8659,484.9,80.0341,26.8932,-0.7142,0.0,514.8,416.3659,0.0
