timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
280,3i,3,0.0,1.0,26.04
280,4i,2,25.7754,116.04,323.76
285,1i,5,5.2771,1.0,185.53
285,2i,4,9.3902,1.0,267.39
285,3i,3,0.0,1.0,26.04
285,4i,2,21.5769,27.19,188.8
290,1i,5,3.7879,1.0,67.92
290,2i,4,9.0965,1.0,172.95
290,3i,3,0.0,1.0,26.04
290,4i,1,18.5869,70.87,70.87
295,1i,5,1.1587,1.0,13.43
295,2i,4,7.2451,1.0,94.96
295,3i,4,4.7737,1.0,436.76
295,4i,2,16.0458,18.92,429.65
300,1i,5,0.0031,1.0,13.0
300,2i,4,4.2795,1.0,42.9
300,3i,4,4.7863,1.0,341.51
300,4i,2,13.3866,16.0,295.18
305,1i,6,4.139,1.0,406.34
305,2i,5,4.8748,1.0,417.42
305,3i,5,14.1392,21.64,405.59
305,4i,4,18.3317,16.0,409.08
310,1i,6,3.9033,1.0,286.9
310,2i,5,3.7813,1.0,324.14
310,3i,5,15.0468,9.35,285.31
310,4i,4,16.5723,2.59,289.67
315,1i,6,4.0905,1.0,165.38
315,2i,5,3.8447,1.0,229.52
315,3i,5,12.7698,8.0,163.71
315,4i,4,13.3536,1.01,167.69
320,1i,4,3.9208,1.0,63.48
320,2i,3,15.2482,5.0,456.19
320,3i,6,9.399,5.76,454.24
320,4i,4,8.7217,1.0,59.75
325,1i,4,0.498,1.0,26.44
325,2i,3,14.1148,5.0,320.81
325,3i,6,4.1801,1.0,358.31
325,4i,4,2.1329,1.0,15.29
330,1i,6,7.9809,1.0,456.97
330,2i,2,13.6705,5.0,186.42
330,3i,6,3.2284,1.0,262.25
330,4i,5,3.7981,1.0,454.27
335,1i,6,7.9265,1.0,337.69
335,2i,2,8.8432,5.0,72.03
335,3i,6,2.7411,1.0,172.15
335,4i,5,3.8727,1.0,357.99
340,1i,6,7.8528,1.0,216.55
340,2i,1,0.0,5.0,5.0
340,3i,6,2.1488,1.0,100.25
340,4i,5,3.7737,1.0,262.53
345,1i,6,7.1022,1.0,101.03
345,2i,1,0.0,5.0,5.0
345,3i,6,1.4021,1.0,49.23
345,4i,5,3.4478,1.0,169.72
350,1i,5,8.9329,13.0,377.0
350,2i,1,3.4013,0.68,0.68
350,3i,7,4.3155,1.0,376.54
350,4i,6,6.5516,1.0,377.65
355,1i,4,8.2352,1.0,243.67
355,2i,0,,,
355,3i,7,3.7505,1.0,243.65
355,4i,6,5.7631,1.0,245.61
360,1i,6,11.9552,1.0,399.81
360,2i,1,18.449,398.68,398.68
360,3i,7,3.2155,1.0,116.52
360,4i,8,9.7759,1.0,383.37
365,1i,6,9.5685,1.0,305.06
365,2i,1,19.0538,303.57,303.57
365,3i,5,2.9415,5.38,42.42
365,4i,6,10.8568,1.0,263.27
370,1i,6,7.0905,1.0,212.94
370,2i,1,18.33,209.89,209.89
370,3i,4,2.3046,1.55,23.01
370,4i,5,9.3956,1.0,141.62
375,1i,7,6.7699,1.0,419.46
375,2i,1,18.4965,117.6,117.6
375,3i,3,0.0,8.0,23.01
375,4i,5,5.3191,1.0,40.44
380,1i,7,4.3013,1.0,325.73
380,2i,1,11.8425,45.92,45.92
380,3i,3,0.0,8.0,23.01
380,4i,4,0.0945,1.0,26.12
385,1i,7,3.0843,1.0,232.05
385,2i,1,4.3425,9.21,9.21
385,3i,4,6.011,8.0,432.44
385,4i,6,8.5102,1.0,431.93
390,1i,7,2.6258,1.0,138.06
